pressure temperature e- H2 H H+ H- H2- H2+ H3+ He H2O CH4 CO NH3 N2 PH3 H2S TiO VO Fe FeH CrH Na K Rb Cs CO2 HCN C2H2 C2H4 C2H6 SiO MgH OCS Li LiOH LiH LiCl LiF
0.00068403 489.9 3.320228224533031e-35 0.8362 8.205371983422156e-20 4.500304137084392e-38 4.500304137084392e-38 4.500304137084392e-38 4.500304137084392e-38 4.500304137084392e-38 0.16242 0.0008190526815858093 0.0004652599999999995 4.350590032082901e-11 1.7484010336837486e-06 6.754591148315718e-05 9.150336638330585e-21 2.5407354885652494e-05 4.5000000000000027e-38 4.5000000000000027e-38 5.728485693728004e-35 4.500304137084392e-38 4.500304137084392e-38 2.2133077448562355e-25 3.1750698628668443e-29 1.0050818429556375e-28 1.9137279986559592e-29 7.1115184295120524e-12 2.09842426492243e-18 3.405301101393846e-32 1.1393165981849453e-26 7.033459417484051e-24 4.500304137084392e-38 4.500304137084392e-38 1.4036724421306537e-16 2.122720271216433e-33 2.1023676677525404e-28 3.472935034650267e-34 8.407298542633427e-24 7.209052629635274e-26
0.00078267 494.0 1.6616268051994712e-34 0.8362 1.1989276822928978e-19 4.5003846104538086e-38 4.5003846104538086e-38 4.5003846104538086e-38 4.5003846104538086e-38 4.5003846104538086e-38 0.16242 0.000819051837999411 0.00046526 5.137884412695995e-11 1.8080865813382658e-06 6.75614505858561e-05 1.488500081965521e-20 2.5411167646031563e-05 4.5000000000000027e-38 4.5000000000000027e-38 3.423938946674805e-34 4.5003846104538086e-38 4.5003846104538086e-38 4.550982859696632e-22 5.775703220684475e-27 2.480061837518227e-26 3.377203680428472e-27 7.74226684454418e-12 2.816103879167918e-18 9.94550260181584e-31 1.0685943270317905e-23 4.005609134902988e-20 4.5003846104538086e-38 4.5003846104538086e-38 1.628634595654416e-16 3.133072312029804e-32 6.856524399551355e-26 3.343960499611083e-33 4.671812307498805e-20 1.1016400837109515e-22
0.00089555 498.3 8.276342399743651e-34 0.8362 1.776294823763097e-19 4.5004675881215294e-38 4.5004675881215294e-38 4.5004675881215294e-38 4.5004675881215294e-38 4.5004675881215294e-38 0.16242 0.0008190505888070982 0.00046526000000000043 6.150222367084295e-11 1.8643175681484996e-06 6.760293843745865e-05 2.4505858005428222e-20 2.541489278617216e-05 4.5000000000000027e-38 4.5000000000000027e-38 2.0755676766156548e-33 4.5004675881215294e-38 4.5004675881215294e-38 1.1381131435575296e-18 1.1459440350509327e-24 6.738264983215936e-24 6.769479635466439e-25 8.522071817549775e-12 3.830629621838859e-18 2.969108070912203e-29 1.1895808859531925e-20 2.9851587846752757e-16 4.5004675881215294e-38 4.5004675881215294e-38 1.9142953853195187e-16 4.724652718950502e-31 2.5682868586563376e-23 3.314289507827534e-32 3.298346815010217e-16 2.0286482765487208e-19
0.0010247 502.7 2.4105801426291403e-33 0.8362 2.63899703464161e-19 4.500499999999893e-38 4.500499999999893e-38 4.500499999999893e-38 4.500499999999893e-38 4.500499999999893e-38 0.16242 0.0008190502220960142 0.00046526 7.389071819405037e-11 1.919495439643966e-06 6.759892637821504e-05 4.0392116205670533e-20 2.541688418994917e-05 4.499999999999929e-38 4.499999999999929e-38 6.527777971628325e-33 4.776407776676718e-38 6.449942631471235e-38 3.145075554241436e-17 1.4232962666026124e-23 9.347153813160465e-23 7.132117893420958e-24 9.41318910737058e-12 5.2189381204194114e-18 1.5322741603201521e-28 2.193774391456241e-19 1.0610457671452864e-14 4.500499999999893e-38 4.500499999999893e-38 2.258750554255635e-16 2.2642047540372304e-30 3.7528340316168115e-22 1.3753869997411244e-31 1.2555476325375801e-14 4.9623950336268925e-18
0.0011725 507.3 5.228545226208337e-33 0.8362 3.9703913879689393e-19 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16241999999999995 0.0008190514485309534 0.00046526 8.992728160772698e-11 1.9683001667542136e-06 6.747351393683674e-05 6.725072011292607e-20 2.5417893915986962e-05 4.5000000000000027e-38 4.5000000000000027e-38 1.4036900759764322e-32 5.173791392585992e-38 1.1565467223279196e-37 5.0060701777787404e-17 3.1840112630817924e-23 2.0483994918994563e-22 1.174289144041134e-23 1.0510652290651185e-11 7.186738277867367e-18 2.723172019062057e-28 3.010668648847438e-19 1.23006414636591e-14 4.5004999999999666e-38 4.5004999999999666e-38 2.6989955296437544e-16 5.496440087562516e-30 7.118059472105205e-22 3.412467899448884e-31 1.7161115925584647e-14 7.866942777034952e-18
0.0013416 512.1 1.1512283904881937e-32 0.8362 6.043058673049407e-19 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242 0.0008190526748437142 0.00046526 1.106946436032043e-10 2.013629723424707e-06 6.739149038432961e-05 1.1308672080369188e-19 2.5418993000127146e-05 4.5000000000000763e-38 4.5000000000000763e-38 3.0852848507433606e-32 5.475495703270806e-38 2.050234432033982e-37 8.085420309523161e-17 7.264835228617602e-23 4.57619391816785e-22 1.950904689847238e-23 1.1845305614410342e-11 1.0010113796291066e-17 4.940228469842035e-28 4.1774142568258327e-19 1.4311410209026705e-14 4.5004999999999666e-38 4.5004999999999666e-38 3.2604478029095453e-16 1.3701200562992304e-29 1.3757983710282398e-21 8.684413346692597e-31 2.3826881411459076e-14 1.2653694862997054e-17
0.001535 517.0 2.5187011727631257e-32 0.8362 9.20551095913449e-19 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242000000000004 0.0008190539006371028 0.00046526000000000043 1.3638287805314162e-10 2.060128682703697e-06 6.735092252771382e-05 1.9028914465419835e-19 2.5420143154293856e-05 4.5000000000000027e-38 4.5000000000000027e-38 6.792319806782908e-32 5.648644192955942e-38 3.5442500843830364e-37 1.307319387293549e-16 1.6513253953628609e-22 1.0184383355957712e-21 3.226250920667512e-23 1.335969944700028e-11 1.395868200067005e-17 8.976356213093579e-28 5.801158914774427e-19 1.6655096952077294e-14 4.5004999999999666e-38 4.5004999999999666e-38 3.942193132005263e-16 3.4220440071571475e-29 2.6628792138956676e-21 2.2141995959957138e-30 3.329535916160386e-14 2.0375041779796334e-17
0.0017564 522.0 5.471245676198368e-32 0.8362 1.4029668800549633e-18 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242 0.0008190551270551949 0.00046526 1.6809426955652511e-10 2.1082383545038825e-06 6.735156854266539e-05 3.2035522103116994e-19 2.5421342740009885e-05 4.5000000000000027e-38 4.5000000000000027e-38 1.4967032151299148e-31 5.679534567741393e-38 5.9720968112710315e-37 2.1150152088566307e-16 3.7359788424012054e-22 2.2559032433450958e-21 5.308200748815232e-23 1.5071847956061154e-11 1.9478998551565385e-17 1.632266174201742e-27 8.05944173883827e-19 1.9385678234171112e-14 4.5004999999999666e-38 4.5004999999999666e-38 4.768160624985464e-16 8.556156291404325e-29 5.1580114815988764e-21 5.651368748613708e-30 4.681082653614404e-14 3.2826895252344296e-17
0.0020097 527.2 1.2431468945414106e-31 0.8362 2.1593929754825214e-18 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 4.50050000000004e-38 0.16242000000000004 0.0008190557700495178 0.00046525966521187044 2.0933712720394115e-10 2.1519973150896436e-06 6.736294345232846e-05 5.433827598318698e-19 2.5422398843024405e-05 4.5000000000000027e-38 4.5000000000000027e-38 3.358813152347436e-31 8.398162101574895e-38 1.1862729158134444e-36 3.4624559749245904e-16 8.700025516343225e-22 5.084240005587934e-21 8.912510507681999e-23 1.7154077650948625e-11 2.742858238395145e-17 3.0232555928016654e-27 1.1308007934080516e-18 2.2639457720552353e-14 4.733335388798236e-38 4.50050000000004e-38 5.826573385984425e-16 2.186689396830986e-28 1.0149135001972622e-20 1.472877750232553e-29 6.58165586955468e-14 5.35166948892594e-17
0.0022995 532.5 2.927487755206941e-31 0.8362 3.322890889264345e-18 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 4.5004999999999666e-38 0.16242 0.0008190552308980324 0.00046525924997429586 2.608883272953576e-10 2.19540519740016e-06 6.735651435410615e-05 9.202693331425708e-19 2.5423229016285123e-05 4.5000000000000027e-38 4.5000000000000027e-38 7.530163262550039e-31 2.166894935967966e-37 2.9921881764038855e-36 5.661990091437494e-16 2.0524324971559418e-21 1.157722761213188e-20 1.517396178859975e-22 1.9545540597736046e-11 3.8581613225108306e-17 5.604169943927688e-27 1.5873858838229084e-18 2.6447658165004798e-14 5.117656162862415e-38 4.5004999999999666e-38 7.127730797018718e-16 5.580436730190138e-28 1.9952190003082745e-20 3.832854080140237e-29 9.112892623252108e-14 8.715651948468187e-17
